1d 2d 4d 7d
K14996 -0.153072648455978 -0.0582690880572969 0.0206230068945164 0.109661216955583
K13998 -0.230351083211322 -0.30062992958431 -0.241539191207246 -0.136335108967354
K18183 -0.144400829071547 -0.215758277297129 0.053387299345251 0.0304836121936796
K01890 0.911934504559015 0.842679516110401 0.709451458397384 0.614371111471146
K03320 0.165734785857132 0.0867772354098369 0.0890104304255047 0.030527613863278
K10614 -0.119515720111423 -0.0961087701282489 -0.135769956992348 -0.00170633235498956
K01187 -0.0777013089957051 -0.167264503640857 -0.127618570219752 -0.171499242790211
K02886 0.194836220649793 0.443091961684956 0.383797324117246 0.423837849060771
K24761 -0.0529015504811059 -0.152985261678371 -0.0670284222534166 0.0412232058922748
K07407 0.513592448843003 0.67118150567745 0.485229389422052 0.296067004326563
K04442 0.152954936703374 -0.0520434876363035 -0.273240297688226 -0.098132116539508
K06990 0.501523662613724 0.771000844370473 0.762191902904575 0.687981881060874
K06269 -0.223139154209337 -0.207087854038254 -0.167404753406807 -0.0971605632004421
K03106 -0.152664649073062 -0.240483202536717 -0.312350575771246 -0.181126511803358
K13304 -0.225852110617979 -0.125349693865941 -0.204246602823422 -0.105013562233116
K26163 -0.00277305344858623 0.218394428504081 0.18118686731058 0.352081809525179
K01265 0.848407502367076 0.983946945250949 0.697895244166705 0.503142167938185
K04962 -0.136078769875062 -0.265256378140988 -0.490261811189611 -0.448761153533059
K07897 0.225532595174876 0.150516158751398 -0.0203552917070122 0.0864844045862757
K19306 -0.114646096713409 -0.0969339770824264 -0.136257893054636 -0.143658685205936
K13289 -0.465014559408801 -0.47217119677878 -0.425010968312964 -0.446598391921683
K02154 -0.286221745173977 -0.216332960034895 -0.261205345548854 -0.234555583796888
K03661 0.20114158883168 0.163940008299013 0.0217679411544539 0.0834332958974055
K08864 -0.592163665387644 -0.870291405849386 -0.837966967407637 -0.71947783882225
K01192 0.0833908183182671 0.0632321684270748 0.203707682942973 0.219854513325752
K11584 -0.0110990033912704 -0.0047812707538905 -0.163334970741336 -0.104914802419784
K17499 -0.533632807481768 -0.308222203883338 -0.0967591007519255 -0.176736718526967
K24821 -1.51375458796245 -1.4690174534099 -0.403122370966917 -0.0405462791519846
K25549 0.0180582428174144 0.175217528989942 0.0199315245481692 0.105548343315224
K01304 -0.381483199968893 -0.104636691157571 0.0561111556529432 0.0284282325917242
K10747 0.436943572846208 0.510540891955986 0.317181548452393 0.19549070024238
K04043 -0.0685177412183869 -0.0372102397099103 -0.525481128872551 -0.437412965994348
K22470 -0.001186331329945 0.0731643274708607 -0.0411818280494088 -0.0203650626892644
K13539 0.0771193185583657 -0.10688192480193 0.0254411976580309 0.0289149871181685
K15409 -0.0249546166823418 -0.0635141401802008 -0.0960335957913652 -0.0595755312825703
K17605 -0.359151001080038 -0.422452985197491 -0.386628644944509 -0.182516682294516
K03555 0.763147055496115 0.847300786049769 0.843655248605546 1.18351695556567
K11979 0.928393403404869 0.815583832156477 0.520836380433373 0.0688273718181399
