1d 2d 4d 7d
K16582 -0.381971695959479 -0.474388945920976 0.681687234372237 0.263657611077221
K19753 0.0250979932474735 0.0909597047562257 0.122406395642422 0.286716703846376
K00006 -0.365829015808303 0.203420567160608 -0.143483491163854 -0.418604688849584
K12818 -0.108723753589064 -0.0774486624690866 0.324254560608751 0.107613953273234
K19882 0.118035678614044 0.336396026272658 0.296549023905879 0.114819734824404
K04977 -0.736580293516543 -0.16059370515094 0.0235276096774267 -0.419716627597566
K03353 0.195227310305947 0.0878452846502289 0.196434721418117 0.0891600613140472
K16302 1.07610584399746 1.15113309008041 0.658995984757315 0.594771609857723
K01079 -0.258876367616445 -0.167541037368261 -0.0620792673718013 0.117033833968025
K02208 0.101414926159217 -0.303091362207 -0.0559236649503165 -0.00182301028648128
K04532 -0.0664727070033007 -0.407009465916829 -0.953509434592271 -0.0428987014370718
K09553 0.543029236418661 0.252439307519378 -0.663847480489843 -0.388306033097192
K13210 0.139124548572916 0.502464864112168 0.268722241066316 0.805338708793756
K27706 -0.0429276113537379 0.146635019323762 -0.113048905891291 0.819788182880317
K11446 0.525841943391415 0.352661690727663 0.163093117239301 -0.139190279192703
K00832 1.09335127636963 1.06631515737229 0.839121025470585 0.84695902650413
K08832 -0.47984624546814 -0.618172768485274 0.150836846816143 0.490017630528199
K03262 -0.714361188430049 -0.75822967164607 0.052084667665773 -0.158946535047162
K00234 -0.451494122771944 -0.376071868433519 -0.215195364087768 -0.823228297872018
K02355 -2.78075031717186 -2.57558192027012 -1.86441904926274 -0.91709290376369
K09941 2.09545672062798 1.75420811998407 0.385771669426458 0.0899753375260624
K05542 -1.40737081482232 -0.967276256943158 -0.26137166710904 -0.22901775598354
K17261 -0.113322036563745 0.00578878799634853 -0.0119116114695012 0.0177506910187519
K13800 -0.284622698507298 0.29472882037622 0.307589196597066 0.293553882974834
K03237 -0.611454320741087 -0.529250014278019 -0.0743726832993007 0.38541696192022
K26419 -0.709328095550854 0.139620356834001 0.293655093995638 0.184402095262198
K01895 0.181714717288286 0.692714693304864 0.265815576005308 -0.157488890249931
K05755 0.12523595244613 0.121606298984904 -0.00127599930624719 0.0240191983368029
K08794 -0.423009264917998 -0.417653517675232 -0.178017653030093 -0.357925179566108
K02183 0.418114463304958 0.104293629938926 -0.349245262928966 -0.39135954826289
K22762 1.20300519403142 0.474923176654976 -0.874869728685137 -0.749649976328805
K24976 -1.11868166950888 -1.4855335469501 -0.446533621327642 -0.265951948439269
K14832 -1.73999556863098 -0.229216099743966 0.0335632165659687 0.511145838513252
K03462 -0.655625107289943 -0.84388949194838 -0.364779516411062 -0.0138909606248167
K11661 -0.13279818573167 -0.869985028653298 -0.4942310658636 -0.639794821073239
K09528 -0.544442953590318 -0.645537278625138 -0.308931323060596 -0.517198016437275
K03260 0.0684554693035825 0.00315468980389458 0.996607823729954 0.469947741174631
K03164 0.550543321827944 0.39978224338691 0.5246130719996 0.497464467302427
K17081 0.866927237866639 0.819404588534736 -0.0966486234292644 -0.0344304903255452
K19953 0.432251542022447 0.197844663372931 0.310135948389138 -0.16050726675322
K01868 -0.51734251505217 -0.847723166484623 -0.627315975984105 -0.152716261032465
K13115 -0.305045245451876 -0.698417550176607 -1.11499076489395 -0.33902930896195
K04990 2.34598664565142 1.42000731246738 1.3168131636285 1.55762055806441
K01769 0.132551447290867 0.350877518639055 0.196786887257075 -0.120171431400873
K24633 1.13747424310662 0.693321361126014 0.192757971168569 0.32350795829271
K13755 0.902947719923005 0.475790255096051 0.272286221185146 0.378930582454351
K03283 -0.600392162124068 -0.564318492104565 -1.41507470945071 -0.613134519865783
K12879 0.0684121013694857 -0.225940057365811 -0.137934964620849 0.390288320172238
K14293 0.301439012582176 0.0773673849262415 -0.174949948041059 -0.702552522889507
K02873 -0.669142912289168 -0.449505245590658 0.843927738250128 1.07084548555502
