"","Expt","Sample","Species","TreatNum","Light","Treatment","ShortTreat","Feeding","Rep","Day","CellCount","ChlpCell","Fv.Fm","Pmax","Pmax.err","Pmax.p","a","a.err","a.p","Ek","P_I","P_I.C","CryptoCount","ShortTreat2","ChlpmL","logcells","ID","mu.3day.terminal","mu.3day.centered"
"118",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","D",14,23083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0468646913371,"fed D",0.0696103942023676,0.0470567048776521
"124",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","D",15,27833.3,13.9697,0.477,48.47687861,0.493135288,4.93e-26,1.097472055,0.037595098,1.3e-16,44.17140134,10.79099122,0.186487536,0,"fed168",388822.85101,10.2339884245653,"fed D",0.0470567048776521,NA
"83",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","E",8.2,11916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114666.6667,"",NA,9.38569605665293,"fed E",NA,NA
"89",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","E",9,8166.7,56.8178,0.462,74.47712999,0.76621063,6.03e-26,1.044694233,0.023917629,1.01e-19,71.29084055,10.37895999,0.179366903,55750,"fed24",464013.92726,9.00782018948903,"fed E",NA,-0.0455403627393049
"95",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","E",10,10714.3,48.3191,0.504,50.80603967,0.267499959,3.54e-31,1.148603922,0.020346694,1.03e-21,44.23286279,11.29427313,0.195185144,17700,"fed48",517705.33313,9.27933457679558,"fed E",-0.0455403627393049,0.366574216774662
"101",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","E",11,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3533.333333,"",NA,9.74096862303835,"fed E",0.366574216774662,0.254744099129891
"107",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","fed96","fed","E",12,17833.3,25.0969,0.516,43.03626928,0.294354724,3.92e-29,1.171105256,0.029982824,7.43e-19,36.74842125,11.43029931,0.197535918,800,"fed96",447560.54677,9.78882277505536,"fed E",0.254744099129891,0.20273255405408
"113",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","E",13,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"",NA,10.1464337311465,"fed E",0.20273255405408,0.158802810738726
"119",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","E",14,24500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1064283965328,"fed E",0.158802810738726,0.0208023734565887
"125",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","E",15,26583.3,14.1843,0.479,46.31715773,0.808163248,7.89e-22,1.096216314,0.066236711,2.46e-12,42.25184132,10.76196373,0.18598589,0,"fed168",377065.50219,10.1880384780597,"fed E",0.0208023734565887,NA
"84",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","F",8.2,8833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106333.3333,"",NA,9.08628394971418,"fed F",NA,NA
"90",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","F",9,8916.7,61.8,0.456,71.72928593,0.686441401,1.64e-26,1.061391347,0.023944191,7.79e-20,67.58043216,10.53711976,0.182100186,66000,"fed24",551052.06,9.09568120196681,"fed F",NA,-0.0272938138134787
"96",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","F",10,8428.6,49.7339,0.512,50.97919603,0.473758322,9.7e-27,1.059921029,0.031296828,9.38e-18,48.09716443,10.44907956,0.180578694,32875,"fed48",419187.14954,9.03938596365731,"fed F",-0.0272938138134787,0.191705342400841
