,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K01074,1142,1491,2183,2706,2246,2776,4463,4095,2031,2120,3535,2037,2180,3585
K13775,30,96,147,114,137,145,231,212,86,109,176,130,82,179
K10755,552,644,872,1062,862,1159,1450,1266,638,773,1309,618,672,1027
K15637,56,76,107,110,137,138,159,172,112,112,164,71,49,129
K16531,1047,1341,1837,1843,1644,2103,3213,3272,1604,1458,2688,2035,2144,3315
K08675,4002,4838,6600,7767,6502,8956,13899,12755,5910,5574,10454,8299,7813,13230
K20100,1150,1385,1990,1971,1894,2246,4080,3855,1800,1978,3237,2282,2178,3963
K07203,1327,1609,2223,2306,1937,2830,3613,3395,1817,1471,2937,2245,1872,3792
K12394,119,141,235,241,236,274,397,399,203,176,282,152,212,294
K08811,425,614,777,1135,876,851,3027,2884,1257,1372,2153,1767,2073,2936
K14565,2125,3381,4538,5190,4008,5440,7511,6492,3248,3919,5637,3167,2939,4771
K24243,3244,3704,4719,5464,4345,6520,9457,8450,4884,3748,7335,6983,6729,10936
K02328,1709,1960,2585,3221,2515,3285,5622,5035,2138,2403,4191,2535,2648,4084
K02731,1223,2042,2810,3054,2896,3666,4925,4494,2163,2906,3716,2001,2313,3233
K22757,471,547,734,945,881,941,1990,1752,919,940,1476,954,828,1634
K16462,1221,1266,1685,1578,1468,2305,2298,2541,1427,960,1825,1479,1813,2645
K11254,2538,4844,5857,7497,4623,5876,16557,15880,4927,6584,9868,6883,7834,9495
K08808,123,209,288,323,267,380,705,594,306,318,558,352,335,493
K07921,492,510,743,983,809,941,1350,1314,703,780,1131,795,1017,1348
K26437,920,1097,1374,1814,1490,1760,4038,3834,1794,1634,2749,2040,2070,3304
K10772,179,232,313,254,294,371,549,487,256,279,415,277,267,506
K01102,756,882,1224,1404,1165,1562,2760,2537,1157,1166,2146,1354,1535,2101
K22073,34,14,30,34,43,31,54,51,56,21,63,23,28,82
K03946,524,565,741,952,768,865,1471,1364,574,837,1229,509,548,871
K04325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02737,1134,1898,2734,2953,2534,3189,4382,3930,2012,2718,3223,2255,1961,3353
K07889,912,1230,1693,1908,1777,1942,2936,2783,1396,1598,2395,1254,1373,2277
K22991,1106,1406,1842,2283,1937,2471,3311,3370,1677,1632,2926,2003,2007,3195
K19348,2316,2771,3931,4602,3906,5037,8322,7381,4510,4103,7475,4486,4429,7560
K20223,2386,2486,3751,3545,2880,4478,5486,5279,2816,2414,4722,3563,3353,5537
