,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K09966,312,513,651,774,604,700,1541,1375,882,774,1043,934,1231,1478
K13341,69,79,161,133,134,166,328,259,108,142,200,159,202,268
K06129,979,1324,1848,2031,1696,2279,4527,4004,1783,1896,3044,2252,2114,3546
K20793,411,510,668,844,731,900,2153,1831,835,919,1685,1106,1051,1736
K04959,1839,1947,2625,2768,2361,3590,4909,4386,2391,1837,3570,2678,2780,5023
K07583,181,342,404,392,401,529,493,500,324,245,430,304,222,446
K10585,394,535,682,768,677,828,1136,1272,529,602,925,609,686,957
K03145,280,376,436,571,512,683,725,703,268,362,579,251,270,491
K00134,2826,5484,7505,10428,7851,10820,19044,16542,9634,10908,13404,7265,7388,10195
K15111,51,78,84,67,71,127,125,163,80,86,135,104,87,189
K22038,61,58,106,100,138,142,254,200,127,136,202,105,119,223
K02259,436,443,634,802,727,852,1441,1330,663,691,1232,921,877,1305
K10573,11455,11980,18114,20675,19776,26730,32501,31119,15719,14578,24702,15017,14105,24223
K04507,654,836,1248,1036,1193,1413,1552,1505,607,851,1215,481,584,1041
K07930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K08991,666,748,1026,1210,895,1156,2240,1980,735,922,1457,1028,912,1537
K02727,3587,9902,10565,15706,10353,13020,24624,23634,11583,11103,19205,11268,11573,14940
K10582,416,438,713,807,752,837,1436,1269,542,636,1049,715,754,1093
K01444,448,480,702,813,635,787,1811,1656,738,819,1281,626,677,1118
K18246,321,349,507,842,688,765,1408,1318,753,714,1189,492,458,777
K03364,1402,1788,2398,3070,2335,2958,6325,6403,3192,2599,5008,3990,4421,5986
K10615,6405,7104,10544,11385,9296,13570,18583,17413,8722,8246,15243,11937,11704,17765
K05673,539,543,841,888,717,1141,2778,2369,1057,829,1466,1374,1309,2282
K20029,205,267,269,383,371,374,515,461,225,267,384,251,242,451
K14995,799,1224,1475,1651,1374,1740,2500,2171,1146,1153,1960,1329,1467,2330
K10765,15,21,24,18,21,13,47,39,29,23,36,27,15,52
K02427,91,109,125,108,149,170,315,294,159,158,264,190,94,352
K04440,129,314,419,392,408,447,919,744,372,456,640,349,341,619
K01076,403,509,718,934,796,896,1779,1702,724,698,1369,1122,1127,1792
K16602,1954,2119,3099,3574,2784,3799,6683,5952,2629,2634,4797,4056,3621,6161
K11985,4,30,33,29,22,30,87,132,39,53,85,56,58,78
K00797,2222,3025,3960,5401,4307,5800,9916,9029,4666,5162,8612,3884,4049,5742
K12585,383,598,788,707,621,807,877,806,473,406,728,414,359,667
K15271,97,149,134,180,264,302,536,441,271,272,443,218,102,416
K12836,693,655,901,1194,914,1161,1981,1864,790,892,1641,958,1014,1530
K03062,3903,4959,6913,8338,6643,9024,14015,12552,6378,6748,10918,6165,6413,9687
K02519,101,117,162,162,201,269,180,240,147,137,243,195,199,383
K03811,1189,1469,1776,1893,1358,1453,1857,1565,820,906,1621,1157,1133,1710
K09568,72,170,222,231,180,205,432,343,183,222,345,158,214,354
K00357,104,134,136,275,193,245,289,260,155,178,317,91,92,161
K01380,64,66,75,77,101,88,147,97,96,57,123,90,67,179
K16748,854,949,1253,1426,1190,1415,1915,2015,956,987,1723,1048,1241,1740
K02931,9,27,25,29,26,43,100,108,63,53,99,69,9,89
K15289,0,0,1,0,0,5,6,3,0,1,2,0,1,0
K09505,910,1475,1806,2188,1556,1991,3578,3483,1908,1705,2897,1860,2084,2931
K11826,1642,2018,3050,3533,2790,3741,5656,5073,2517,2445,4613,3062,2934,4681
K06639,1775,2551,3224,4062,3002,4161,6338,5999,3092,3157,5023,3788,3558,5042
K04990,1423,1992,2410,3375,2764,3599,5126,4533,2584,2415,4414,1904,2039,3855
K02894,12083,15656,21709,23302,19369,23766,41864,37337,15842,18701,32389,14427,17192,25397
K03028,5482,7407,10419,11641,9373,12560,15188,14924,6619,7373,11836,8483,8680,12743
K00924,2108,2362,3286,4257,3345,4428,8107,7587,3365,3371,6101,3216,3241,5020
K14948,504,688,939,898,895,1017,1543,1312,613,685,1182,677,705,1115
K22382,1692,1999,2749,2795,2381,3147,4519,4462,2306,1883,3678,3904,4271,5766
K03242,2314,2730,3790,4130,3270,4675,5839,5710,2470,2670,4692,3321,3499,5182
K18164,225,369,448,642,549,670,1015,985,469,509,857,400,442,717
K10891,3,34,41,40,70,39,103,88,59,36,99,49,27,127
K14018,971,1244,1898,1748,1637,2264,2397,2473,1341,1239,2059,1727,1745,2653
K17783,26,59,81,54,55,34,91,76,52,48,63,40,31,68
K00545,5,4,1,4,10,3,14,13,8,5,8,12,4,11
K14835,1605,1967,2669,3094,2480,3385,5091,4848,2460,2362,4133,2908,3219,4818
K00324,1158,1361,1977,2173,1805,2297,3387,3108,1482,1603,2774,1880,2104,2964
K11833,1686,1985,2822,3217,2827,3670,6636,5656,2315,2876,4605,2843,3014,4867
K26752,682,894,1219,1421,1273,1484,2607,2429,1063,1107,2118,1254,1308,2226
K01874,6329,7921,10770,11376,9202,13376,17356,16524,8477,9070,15839,8712,8367,12678
K04804,205,423,426,494,546,713,1023,921,684,494,985,583,426,1268
K00934,250,348,436,529,430,489,1243,924,422,471,798,424,506,720
K05941,124,204,205,300,239,239,743,681,277,356,623,294,307,478
K14684,264,272,350,559,357,447,349,385,254,208,335,145,135,233
K07893,241,290,400,467,385,464,664,569,261,301,538,258,255,547
K02216,41,105,108,175,85,112,191,214,75,91,139,113,82,106
K02444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K16465,3610,4665,5947,6205,4862,5743,11151,9656,3460,4025,7109,3250,3467,5783
K08281,398,531,675,796,743,857,1690,1453,790,747,1208,387,461,839
K14846,715,889,1103,1206,949,1384,1460,1355,639,767,1279,547,650,944
K19681,4835,7348,9938,11308,8063,11799,18478,15524,8348,9440,13400,9207,9112,12652
K01557,71,44,55,82,87,107,183,175,82,76,144,53,49,99
K00599,27,46,65,76,64,94,120,102,107,74,162,74,34,154
K10395,5319,6092,7658,7957,6206,8982,14029,12274,6180,4618,10409,9981,9185,15028
K03006,5152,5934,8291,9213,7837,11823,12900,12487,7596,6252,11380,8641,8074,13282
K02725,3086,3670,5130,6422,5170,6662,9605,9300,3858,4631,8103,4299,4731,6596
K11728,937,1168,1609,2191,1829,2065,6535,5813,2146,2799,4479,2546,2948,4157
K00025,259,215,299,323,360,412,475,559,250,286,399,192,206,374
K23456,4827,5022,7072,7431,6156,7821,11828,10522,3960,4638,8654,4803,5575,7831
K01062,142,148,182,165,174,195,400,325,182,176,319,225,194,447
K17609,147,234,282,392,299,367,548,524,257,327,490,158,194,335
K25866,5732,7042,10312,10559,8944,11872,19617,19417,8042,9204,15176,9612,10507,15746
K14816,2550,2868,4489,5238,4314,5715,7295,7027,3869,3751,6602,4609,4746,7344
K00799,844,1164,1535,1889,1395,1792,2162,2294,951,916,1824,1242,1244,1899
K19684,6927,8359,11145,13094,10403,13324,24960,21388,9350,10414,17816,11676,11431,17344
K01490,2,9,19,36,12,14,38,35,10,12,35,7,11,8
K04851,1159,1224,1621,1662,1600,2161,3430,2926,1751,1366,2754,2233,2170,3894
K04646,8118,9120,13263,13996,11926,18536,18124,17527,9647,8350,15114,9685,9195,15688
K11165,2,4,5,0,1,3,4,4,3,3,6,2,2,12
K09579,239,273,340,353,352,423,1062,852,272,411,606,340,443,635
K01052,1176,1503,1982,2044,1798,2431,3545,3259,1472,1670,2699,1742,1827,2940
K23728,3605,4978,6890,8466,6334,8633,13289,12235,5625,6469,10112,8110,7922,11150
K10609,103,110,144,210,133,194,435,383,199,192,324,292,252,341
K15042,3232,4027,5679,5939,5054,7146,9571,8784,4242,4783,7449,5163,4959,7233
K01897,79,138,165,147,146,106,345,270,138,127,193,167,171,254
K02684,455,571,723,710,593,916,1137,1243,692,598,1020,556,484,874
K09512,5997,7926,11079,12273,10538,13358,25078,23490,11504,14086,18700,9621,10506,15610
K05012,631,771,1102,1256,1195,1368,2782,2289,1141,1334,1959,837,925,1738
K24185,6536,7415,9887,9922,8124,12136,16622,15521,7859,7004,12944,9031,8904,14812
K12392,5947,6566,9429,11468,8897,12892,18206,17577,9662,8748,15703,10807,10214,16652
K02493,1968,2416,3211,3788,3324,4320,7781,7125,3329,3352,6107,2987,3316,4871
K16480,8313,8878,12054,13805,11511,15723,23299,21943,10340,10194,18057,11528,13074,20288
K11434,3213,4021,5804,5747,4259,6130,7174,6810,3329,3805,5946,3607,3445,5170
K11725,469,1740,2167,3549,2036,3134,4223,3982,1814,2319,3120,1446,1321,1745
K06965,860,1286,1754,2465,1876,2546,4756,4195,2534,2501,3787,1546,1900,2441
K02739,1756,2950,3988,5773,4499,5523,6498,6234,3093,3560,5388,3381,3381,4748
K03257,159,212,283,314,270,365,491,383,198,229,326,289,274,346
K00859,6,4,12,12,16,4,14,8,23,22,30,16,6,47
K00128,220,227,399,404,307,424,687,685,320,309,530,415,422,664
K12012,66,79,71,71,65,89,133,134,82,80,136,77,63,129
K09511,617,756,1016,1037,1034,1145,1830,1687,1025,891,1529,830,935,1704
K02257,506,589,767,849,722,901,1586,1652,865,731,1229,1117,1156,1784
K05681,1430,1870,2231,4043,2983,3833,6789,6338,3036,3465,5701,2691,2468,4076
K16603,1960,1957,2699,3108,2642,3325,6139,5763,2506,2701,4648,3254,3376,5312
K19372,2967,3566,5023,5946,4799,6523,9145,8321,3789,4303,7012,4011,4698,7108
K11825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01001,258,290,386,436,319,389,636,548,238,228,496,254,233,389
K03833,410,538,830,740,705,996,1098,1139,548,591,927,515,535,910
K13182,4678,7062,8624,11301,8623,11923,17585,15903,7725,8172,14447,7837,7144,10976
K07942,23,23,33,34,31,28,67,49,22,27,29,35,38,38
K09647,62,98,131,133,108,121,219,200,84,99,175,102,98,140
K04565,688,1235,1585,2661,1994,2361,3372,3286,1834,2054,2424,845,967,1550
K16772,8352,10332,13613,17609,13318,20180,26182,24531,13691,12249,22196,15329,15066,22064
K24627,1589,2274,2634,3673,2816,4037,5745,5253,2291,2950,5115,1875,1533,2862
K11968,3160,3731,5409,6588,5457,7504,9319,8978,4331,4323,8254,4799,5119,7941
K21867,7283,7691,10335,12064,10289,13734,21070,19660,10403,9251,17093,11256,12141,19576
K07376,2753,2956,4339,8169,7185,10658,31230,30958,13863,14100,24269,16969,14165,27599
K03083,2013,2614,3459,4204,3162,4737,7319,6844,3016,3164,5592,4465,3969,5658
K01537,15,34,52,68,65,55,112,105,68,64,100,85,69,119
K22071,106,118,194,228,211,255,353,275,160,199,310,91,121,162
K01126,170,215,283,307,248,340,427,484,236,253,398,297,316,402
K08202,851,1060,1372,1967,1473,1764,3909,3472,1521,1501,2877,2288,2380,3455
K26730,630,796,1057,1778,1368,1628,2013,1701,1223,1284,1929,543,609,1147
K07023,1,4,4,3,19,9,18,9,36,16,58,17,8,38
K17686,966,1109,1585,1764,1609,1830,3458,3085,1832,1595,2954,2133,2001,3472
K02295,103,123,134,199,190,181,446,321,175,200,377,161,148,323
K17725,12713,14512,19093,26559,19943,27095,70194,67321,25998,26340,50166,25157,27719,43764
K03017,526,650,786,1083,753,1045,1281,1194,583,649,1151,600,670,856
K00721,244,343,364,527,490,504,727,610,304,399,623,251,219,450
K02877,10197,15168,19963,22386,15848,21021,29022,25895,13119,14091,23549,14019,14586,21215
K02918,4797,6099,8485,7987,5902,8280,10730,9553,3737,4863,7958,4097,4108,6041
K03016,223,349,470,546,495,620,693,700,439,540,775,197,221,379
K02885,4700,11007,14567,14431,10439,13980,17780,15485,9276,10832,12813,7369,8206,10635
K05609,1006,1117,1677,1863,1573,2057,2703,2608,1037,1188,2089,1185,1377,1803
K25395,2068,2590,3662,4000,3204,4345,7244,6431,2773,3177,5362,3189,3340,4996
K15109,1829,2247,3197,3367,2706,3699,6233,5946,2730,3041,5261,1922,2102,3492
K20032,336,443,609,574,569,801,906,791,467,418,740,339,342,567
K19677,7225,8668,11936,12844,9919,14734,23748,21989,9428,9890,17707,12709,12282,19011
K14561,477,527,683,780,555,744,943,960,471,439,742,411,461,738
K11204,3221,3216,4907,4981,4370,6678,11134,10396,4308,4371,7695,6925,6774,10137
K19993,194,225,259,376,259,367,439,459,215,246,375,146,183,259
K14831,1691,1993,2399,3364,2511,3224,5167,4572,2004,2009,4024,2382,2667,3910
K01412,3150,4508,6289,7944,6243,8410,11169,10924,5933,6622,9006,6802,6833,9398
K06002,275,429,536,566,501,643,1373,1219,580,587,954,665,756,1136
K07816,0,0,0,0,0,0,4,3,1,1,1,2,1,1
K21888,89,84,125,134,113,113,284,283,125,114,214,85,121,186
K01404,341,524,679,822,614,898,1108,1054,637,538,886,684,730,1108
K16458,4597,5328,6890,8466,6342,9111,13143,12273,5805,5677,10796,7104,7052,10964
K20880,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K24524,34,81,80,116,107,148,252,210,168,140,224,90,62,202
K09539,110,136,266,168,156,206,322,248,97,112,169,90,94,160
K00922,2595,3114,4346,4777,3814,5474,7409,7129,3937,3521,6155,5072,4966,7816
K25656,2772,3325,4389,7766,5775,8395,12485,11874,6398,5565,10157,6451,5710,10142
K02997,12286,19460,26037,30593,24307,28647,44186,38468,19705,21003,32555,19799,21709,28226
K14950,3097,3621,4652,5238,3998,5569,8045,7253,3850,3467,5938,4403,4396,7363
K13999,324,400,446,496,482,597,761,752,410,374,654,476,473,762
K08177,35,65,55,71,84,94,116,153,86,82,148,71,47,146
K00024,2309,3169,3957,11163,8781,11248,29075,28072,13052,14284,22122,5651,6221,12033
K02863,891,999,1383,1635,1524,1721,5040,3783,1413,2091,2988,1118,1486,2397
K03496,0,2,1,0,1,0,1,9,3,0,2,1,2,5
K11480,1503,1655,2623,2755,2344,3322,3908,3908,2063,1867,3308,2533,2668,4168
K13338,52,61,87,112,89,115,181,146,69,94,184,92,77,137
K12161,243,529,660,820,762,828,951,794,645,577,780,275,376,621
K21767,684,777,1083,1063,1050,1589,1542,1640,1085,850,1492,727,624,1539
K02132,3937,5971,8391,12500,9283,12966,17239,14896,9159,10937,14193,7968,7450,10841
K15255,0,4,8,2,17,4,9,14,9,7,13,18,6,15
K10754,2410,2908,4010,4896,3553,5405,6639,6643,3424,2983,5748,3768,3652,5772
K03032,3790,4692,6456,7239,5971,8527,9772,9686,4994,4733,8102,6480,5813,10301
K04464,4,27,22,19,18,25,41,36,18,24,32,25,23,22
K07056,72,102,129,121,153,154,150,175,115,98,145,118,107,173
K01676,1582,1724,2555,3816,3228,4243,4950,4761,2536,2897,4721,2248,2404,3678
K07198,7106,8440,10870,15484,11607,15138,28303,25643,11571,12092,21581,12862,12711,20199
K18798,234,412,494,679,467,613,1250,1218,532,617,809,508,505,705
K19678,6879,8437,10998,12383,9989,14181,20746,18854,8757,9018,16122,11578,10888,17191
K08867,423,466,656,616,592,777,1052,1000,501,460,797,516,583,896
K12948,714,846,992,1571,1192,1405,1072,953,586,649,1026,343,372,626
K08287,112,151,168,189,253,303,210,225,225,145,289,115,98,266
K00777,193,330,356,454,394,435,569,614,290,290,526,342,362,561
K20367,372,468,624,677,542,808,885,889,392,446,682,407,368,665
K03097,1836,2314,3175,3589,3117,4164,6308,5804,2639,2921,4924,3440,3325,5130
K14568,372,527,642,548,439,645,516,492,250,289,461,211,248,368
K20553,18,31,30,32,34,64,97,113,72,56,101,33,51,76
K16311,427,546,759,889,612,844,1563,1394,649,721,1146,881,932,1243
K14859,947,1020,1356,1874,1520,1980,1961,1793,895,1073,1777,735,719,1283
K07951,305,498,647,651,522,684,736,729,469,402,818,468,537,707
K14753,8620,14042,19128,19803,14697,20655,27482,24038,11792,14677,20080,11944,11835,16830
K02677,3581,4091,5290,5683,4252,5097,11563,10166,5125,5432,9752,6137,6488,8825
K01303,373,600,818,922,916,1034,1676,1513,807,846,1421,705,542,1154
K07080,0,4,0,0,0,1,0,4,1,5,4,1,2,7
K14288,501,633,861,733,777,1125,1535,1412,1052,711,1420,1133,860,2117
K18442,851,944,1425,1330,1420,1909,2445,2281,1628,1293,2363,1579,1245,3193
K14537,3239,3756,5047,6453,4830,7399,8348,7843,4146,4297,7341,4688,4710,6875
K02901,11702,15090,19570,22530,17299,21855,33995,31633,12906,14743,26770,13680,15306,21374
K02993,6961,11059,15009,17957,12552,17730,24089,20750,9219,11192,17386,10094,9585,14170
K10393,1636,2037,2840,3031,2485,3814,4777,4476,2882,2132,3895,3552,3312,5194
K18368,731,922,1209,1271,963,1452,2402,2374,1146,1142,2068,1277,1377,2062
K13356,1493,1632,2316,2702,2425,3107,4476,3978,2030,1893,3645,2522,2295,4187
K14168,1412,1706,2284,2587,2025,2727,3653,3227,1504,1654,2775,1386,1636,2445
K10761,13,16,25,15,31,27,40,35,36,34,47,23,19,47
K20858,320,500,571,781,636,788,825,787,447,565,754,194,231,431
K10534,378,422,608,653,581,838,2514,2529,926,750,1429,1605,1628,2467
K16740,7245,8428,11347,13617,10430,14992,22560,20938,10766,9630,17925,14119,13412,20714
K13800,2272,2372,3421,3447,3150,4610,5840,6104,3420,2640,5129,3946,3827,6496
K01166,448,716,741,1293,850,981,1341,1210,761,890,1296,269,306,532
K04907,729,716,1022,980,804,1165,1706,1590,971,685,1306,1420,1426,2447
K02974,8415,10270,14070,15555,12406,15171,21132,18600,8308,9555,16215,8081,8982,13329
K04498,282,283,419,513,450,504,787,641,342,431,562,209,259,457
K10133,49,66,75,70,150,110,207,186,129,130,208,167,67,324
K12504,58,82,135,130,188,190,273,243,138,138,228,141,89,247
K00940,4148,6611,9278,11403,8547,11430,16490,14575,7885,9158,11730,8006,8406,11709
K04905,106,160,169,177,218,246,553,417,288,259,436,286,209,535
K21248,1534,1778,2508,2990,2341,3056,4873,4491,2282,2254,4020,2464,2503,3869
K04445,326,418,595,577,517,721,979,849,385,374,777,551,514,782
K18466,572,627,941,889,915,1154,2001,1711,704,913,1403,788,872,1387
K11757,20,0,0,0,11,0,0,4,0,9,0,0,0,0
K17496,677,1013,1177,1447,1283,1762,1964,1766,781,949,1769,697,630,1299
K17570,11747,13251,18902,20570,17338,29816,28722,24632,13739,11507,23000,15438,13817,25603
K04638,3095,3735,4701,5615,4673,6133,10022,9743,4212,3948,8113,5064,5739,8069
K21278,2194,3232,3667,6812,5270,5942,9381,9769,5363,5552,9550,3110,3070,5143
K01183,0,0,1,1,0,0,1,3,0,1,1,2,0,0
K14437,1686,1925,2781,2997,2483,3541,4061,3881,2240,1899,3543,2925,2899,4665
K11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K17681,2061,2403,3488,3830,2686,4134,5335,4692,2403,2407,4286,3131,3252,4334
K24756,107,256,363,318,269,402,1041,834,520,460,631,568,521,709
K01061,1092,1450,1575,4997,3787,3684,5952,5860,4043,4046,5338,1197,1396,2298
K09500,1877,2322,3245,3779,2850,4471,5488,5972,3017,2452,4871,4018,3997,5785
K12013,9,9,6,20,9,8,30,17,17,13,16,24,18,29
K14440,1188,1602,2055,2348,2027,2618,4644,4151,2089,1897,3425,2829,2716,4587
K23437,3512,3996,5667,6338,5074,7377,10416,10193,5005,4712,8711,6576,6439,9971
K02208,372,449,528,396,434,711,627,709,654,350,730,401,376,778
K12896,404,846,1049,1956,1312,1634,1456,1266,897,1022,1258,507,537,636
K12314,327,659,802,842,572,1128,1006,823,912,606,785,708,586,1058
K01674,2574,3318,4293,5555,4526,5389,9712,8090,3998,4133,7223,4181,4410,7166
K12567,1462,2418,3187,3600,3107,3514,7253,6221,2935,3166,4842,2741,3621,5010
K25378,3018,3432,4398,7200,5528,7240,10327,9124,4975,4899,8560,3389,3292,5810
K16455,14086,16614,22177,25567,20722,25574,56037,50369,19531,21106,38657,19298,22420,34660
K10415,811,1152,1669,1883,1489,2117,3271,3091,1594,1548,2579,2176,2263,3095
K16608,5971,6438,9009,10011,8340,12110,16102,14929,7849,7207,13815,9224,9379,14560
K19789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00966,619,789,921,1494,1393,1527,1712,1792,1102,1122,1940,419,403,831
K02908,8560,11786,16588,17264,14583,17393,26127,23921,9761,11343,19770,10893,12510,17490
K06228,5066,5931,7644,9368,7235,10740,14469,13228,7025,6460,12174,9612,8927,13941
K22132,195,236,263,346,359,385,466,453,245,273,415,202,234,367
K08857,8193,9311,12973,14059,10821,16091,21046,19435,8844,8623,16303,11423,11516,17096
K11754,21,22,41,34,40,54,71,44,38,25,59,37,40,86
K23782,181,229,382,405,284,417,858,812,321,387,667,411,398,572
K20471,929,1026,1542,1492,1354,1683,2471,2261,974,1078,1879,1390,1313,2219
K17972,281,344,519,652,561,593,1088,1093,479,548,897,449,376,839
K25548,5858,6750,9538,10312,8602,11819,19003,17947,8505,8270,14999,11526,11078,17788
K09540,844,768,1126,1216,982,1368,1849,1657,838,788,1429,752,769,1325
K07941,221,506,712,964,718,837,1354,1353,760,623,1117,1017,1113,1232
K07936,5151,8890,11622,16275,10945,15739,19705,20964,10485,11042,16059,8921,10688,13323
K08776,4415,5091,7454,8337,8464,10536,11405,11931,6224,6451,10267,3815,4143,7229
K01110,692,793,1106,1334,1192,1282,2639,2498,1285,1141,2040,1640,1659,2852
K00234,405,499,575,934,761,916,1455,1298,545,628,1083,624,722,1062
K02734,3423,3435,5260,6035,5271,6234,8898,8619,3965,4252,7460,3955,4664,6741
K03264,303,361,415,501,398,523,861,763,352,360,586,345,353,545
K16571,2412,3184,3939,4245,3758,5254,8289,7392,3528,3437,6328,4183,3767,6839
K22943,880,942,1202,1328,1125,1287,2708,2185,980,1041,1857,1335,1262,2149
K25815,14,28,19,36,83,61,107,76,87,79,119,61,24,157
K08056,3492,4863,6226,8098,5574,7915,11912,9710,3851,5038,8371,5161,5089,7346
K04487,1954,2054,3111,3975,3600,4769,7012,6756,3405,3846,6069,2935,3581,5152
K06669,5074,5209,7736,8722,7068,10347,10294,9793,5647,4983,8445,7072,7235,11675
K17808,34,72,89,71,145,141,185,132,86,102,139,110,57,152
K02327,509,667,839,879,762,1059,1514,1347,729,627,1148,750,754,1223
K13288,482,562,748,767,715,906,1356,1203,605,763,1077,442,526,784
K02357,199,327,367,565,397,471,580,567,268,319,461,244,246,318
K03010,4455,5448,7708,9254,7080,11779,9993,9455,6365,5346,9443,7228,6978,10482
K07188,762,1068,1329,1287,1159,1261,2445,2342,1518,1271,1904,1754,1792,2824
K00650,105,110,166,187,195,201,423,341,258,178,356,178,143,329
K16601,1374,1649,2204,2398,2114,3036,4024,3811,2040,1862,3601,2351,2283,3858
K11981,182,222,281,412,340,444,612,607,257,323,560,257,202,461
K00995,35,37,55,40,87,103,82,66,82,50,75,75,41,213
K11842,45,72,115,75,82,128,165,147,95,87,149,90,110,252
K04904,464,547,745,751,646,946,1552,1422,791,678,1302,814,768,1322
K19589,9,34,43,44,55,82,79,71,57,64,93,50,41,78
K19800,564,803,1035,1223,1204,1337,2807,2417,1186,1188,2067,1494,1477,2595
K11839,3809,4530,6357,6025,4527,6438,10215,9529,4154,5045,7652,5517,5766,8280
K19572,931,1095,1422,1869,1400,1880,2007,2045,1020,1177,1972,825,713,1099
K10669,47,55,111,91,89,131,127,118,132,89,113,87,118,189
K10381,3855,4520,6019,8480,7257,8435,15193,13906,5837,7000,11019,3963,5221,7701
K07394,116,126,134,155,143,204,361,324,138,127,244,155,147,244
K20030,18,18,32,37,37,57,59,67,49,31,71,47,32,112
K12398,236,421,573,580,541,686,941,893,460,494,784,411,391,739
K08516,665,945,1419,1118,1113,1322,2419,2101,1021,1197,1710,1008,1154,1486
K17615,983,1253,1672,1975,1612,2290,3345,3216,1637,1643,2810,1634,1727,2566
K13354,182,548,650,1115,704,849,1667,1604,601,748,1319,948,692,1104
K03063,1945,2787,3797,4229,3286,4581,5882,5615,3025,3212,4713,3265,3407,4686
K06185,2612,3572,4750,4749,3739,5442,7864,7467,3621,3604,5575,4617,4649,6810
K03120,139,155,157,252,221,208,377,291,178,189,332,194,137,291
K02137,1964,2202,3290,4772,4165,5141,5938,6050,2932,3497,5062,2022,2509,3706
K01174,79,86,122,158,177,147,446,401,175,247,367,126,109,295
K14769,193,209,265,284,412,375,676,591,398,451,717,309,231,719
K02542,149,210,245,316,204,347,360,328,215,221,296,246,211,313
K08997,26,59,79,89,70,86,217,187,69,81,107,71,69,87
K06013,413,550,683,1111,866,1089,1434,1257,788,724,1414,498,416,950
K15104,969,1487,1911,3236,2734,3305,3627,3231,2136,2394,3119,932,940,1730
K23886,817,1577,2119,2763,2063,2619,3775,3283,1621,2129,2877,1087,1339,1857
K02729,3521,4403,6242,7057,5961,7228,12795,11265,5000,5744,9067,5612,5960,8846
K00162,2266,4409,5827,8006,6189,7950,13658,12360,7498,8311,10750,6827,6392,9207
K20221,5974,7146,10366,10651,8011,13602,13959,14294,9058,6816,11596,10665,10427,16279
K05991,1195,1525,2128,2109,2025,2675,1901,1738,937,1020,1628,1211,1315,1786
K01886,2552,3249,4153,4601,3715,5279,7134,6838,3385,3414,6173,3763,3214,5895
K13755,1947,2040,2880,3089,2812,3825,5327,5376,2691,2606,4886,2936,3092,5033
K11406,762,990,1348,1124,1173,1621,2819,2648,1465,1249,2110,1800,1482,2973
K14290,2154,2407,3319,3670,3177,4704,5765,5604,3297,2642,4844,3421,3246,5841
K23334,1864,2300,3084,3351,3148,4301,5621,5690,2806,2676,5001,3317,3008,5585
K16482,276,611,666,919,592,798,936,1213,734,604,879,658,813,884
K20798,42,31,22,33,60,29,85,76,76,72,81,53,19,142
K17080,1864,2213,3067,2901,2516,3367,3474,3248,1512,1773,2858,1654,1787,2505
K07874,1967,2280,3262,4083,3407,4066,6768,6149,2755,3218,5142,2904,3250,4707
K03301,11996,16810,21017,30033,21812,28623,46123,41218,21025,21058,38343,24755,24149,36519
K15381,1006,1241,1699,2117,1814,2273,4873,4436,2187,1935,3669,3159,3011,4780
K01720,3116,3569,4978,7098,5474,7726,8707,8207,4972,4675,7331,4192,4437,6238
K03660,31,29,33,22,31,34,55,45,35,17,51,34,26,69
K23929,5302,6476,9687,10991,8961,11716,17398,15767,7937,9721,13688,8043,8416,12114
K03115,771,1529,2050,2664,2111,2517,4722,4106,2388,2760,3495,1982,2113,3184
K01056,15,39,32,21,31,30,44,55,56,23,43,48,19,98
K09201,635,810,1099,1168,954,1259,1984,1939,954,931,1664,1483,1394,2124
K16743,47,41,70,75,79,91,119,88,69,49,95,48,70,89
K16298,32,40,55,62,69,93,131,99,84,77,130,75,71,153
K16198,1052,1294,1700,2062,1549,1937,3521,3032,1335,1514,2776,1731,1694,2583
K02957,7323,10006,13142,14605,11254,14463,19987,17533,8184,9125,15285,8464,8656,13576
K05863,20834,27794,37950,47984,40150,50288,98410,88488,36033,39258,64487,42854,44813,66050
K11824,9471,14224,18716,23784,19984,21756,53144,45721,20265,22464,36836,18748,20611,32594
K03255,2008,2348,3041,4061,3443,4831,5347,5416,3027,2679,4390,1792,1620,3393
K12479,283,342,579,447,460,621,807,750,343,362,624,509,451,759
K02180,2160,2896,4090,4850,3828,5371,7556,6953,3440,3468,6085,3841,4127,5896
K11843,3231,3989,5870,6413,5546,6937,9595,9273,4165,4638,7734,4446,4623,7086
K03386,236,392,566,571,444,701,983,765,361,412,614,349,420,627
K02964,1784,2760,4069,3969,2771,3643,6443,5142,2136,3108,4256,2309,2717,3256
K22900,2,12,13,9,31,10,19,17,29,14,45,29,14,64
K02738,3355,3643,5040,6457,5529,6782,8564,8242,3614,4075,6941,3442,4082,6205
K24353,910,1156,1605,1654,1627,2013,3366,2963,1382,1593,2696,1860,1871,2928
K01379,4166,5260,7282,9699,7422,9317,19644,16374,7502,7914,13896,9792,9287,14039
K11068,108,145,205,277,225,236,455,386,167,183,343,322,283,542
K11136,491,579,658,1134,701,1099,957,951,658,610,924,377,377,656
